year_built;volume_interior;volume_other;lot_size;taxable_value
1990;299;134;225;175000
1923;391;0;153;142500
1963;138;14;100;89500
1937;451;36;262;173000
1983;271;20;174;146000
1976;353;23;162;132000
1940;464;0;109;165000
1936;452;130;222;295000
1963;185;20;100;77500
1983;331;19;180;150000
1989;423;49;413;285000
1987;301;91;232;199500
1904;177;0;175;97500
1980;232;15;100;107500
1935;340;0;310;126000
1952;278;20;158;70000
1953;278;20;191;105000
1973;350;24;150;174000
1936;291;42;177;105000
1979;395;29;100;215500
1900;500;41;275;120000
1964;251;17;137;117000
1980;370;63;165;171500
1976;474;65;451;355000
1973;350;24;150;173000
1957;372;20;199;168000
1915;684;31;220;100000
1940;350;76;130;165000
1965;225;19;100;91500
1939;392;28;178;162500
1968;310;62;164;140000
1915;397;45;603;125000
1959;340;44;284;128000
1965;199;13;100;101000
1974;335;60;192;178000
1980;280;31;138;142500
1991;732;57;498;440000
1980;155;9;100;79000
1983;300;22;162;154000
1983;355;19;154;136000
1979;361;20;189;174500
1935;675;55;255;280000
1963;185;20;100;57500
1974;357;26;192;149000
1985;294;17;164;142500
1941;238;81;340;130000
1979;166;11;100;82500
1988;300;105;198;154000
1908;245;24;147;65000
1955;273;0;100;119000
1963;212;20;100;87000
1915;304;0;311;65000
1989;280;0;140;140000
1976;258;26;179;150000
1983;263;25;164;130000
1963;342;36;179;161000
1977;342;28;171;132500
1972;420;58;272;210000
1973;351;25;182;155000
1904;806;153;138;132500
1989;380;108;264;225000
1933;369;0;137;217500
1976;263;24;138;115000
1909;398;16;89;114000
1976;263;24;138;139000
1938;340;28;259;130000
1983;338;61;235;225000
1979;365;22;221;180000
1963;285;17;123;140000
1915;386;0;214;50000
1977;382;21;171;149500
1971;470;90;332;240000
1979;192;14;100;90000
1935;411;0;340;125000
1977;505;34;445;295000
1956;373;13;142;181000
1972;341;63;252;165000
1978;418;29;100;288000
1920;327;24;100;145000
1965;225;13;100;100000
1988;305;43;213;180000
1967;313;24;167;140000
1977;367;20;169;125000
1941;324;15;165;130000
1964;277;14;144;95000
1985;332;19;171;146000
1969;313;32;152;112500
1959;261;57;182;99000
1969;350;97;340;217500
1983;283;20;125;150000
1985;297;16;187;140000
1961;251;17;161;115000
1920;260;13;80;124000
1967;352;113;237;200000
1982;685;132;631;410000
1991;274;22;149;180000
1979;245;18;100;125000
1963;335;40;126;144000
1963;276;14;100;105000
1969;313;32;152;121000
1961;294;32;117;125000
1972;398;28;172;139500
1978;300;60;146;144000
1966;225;40;100;112000
1960;301;38;147;145000
1981;717;109;548;442500
